OF,P (kPa),T (K),gam,rho (kg/m^3),mw
3,1378.9,1997.2,1.2648,1.6769,19.85
3,1447.9,1997.4,1.2648,1.7607,19.852
3,1516.8,1997.5,1.2648,1.8445,19.853
3,1585.8,1997.6,1.2648,1.9283,19.854
3,1654.7,1997.8,1.2648,2.0121,19.856
3,1723.7,1997.9,1.2648,2.0959,19.857
3,1792.6,1998,1.2648,2.1797,19.858
3,1861.6,1998.1,1.2648,2.2635,19.859
3,1930.5,1998.3,1.2647,2.3473,19.86
3,1999.5,1998.4,1.2647,2.4311,19.862
3,2068.4,1998.5,1.2647,2.5149,19.863
3,2137.4,1998.6,1.2647,2.5986,19.864
3,2206.3,1998.7,1.2647,2.6824,19.865
3,2275.3,1998.9,1.2647,2.7662,19.867
3,2344.2,1999,1.2647,2.85,19.868
3,2413.2,1999.1,1.2646,2.9338,19.869
3,2482.1,1999.2,1.2646,3.0175,19.87
3,2551.1,1999.3,1.2646,3.1013,19.871
3,2620,1999.4,1.2646,3.1851,19.873
3,2688.9,1999.6,1.2646,3.2688,19.874
3,2757.9,1999.7,1.2646,3.3526,19.875
3.25,1378.9,2120.1,1.2956,1.5938,20.374
3.25,1447.9,2120.2,1.2957,1.6735,20.374
3.25,1516.8,2120.3,1.2958,1.7531,20.375
3.25,1585.8,2120.3,1.2959,1.8328,20.375
3.25,1654.7,2120.4,1.2959,1.9124,20.376
3.25,1723.7,2120.5,1.296,1.9921,20.376
3.25,1792.6,2120.5,1.2961,2.0717,20.376
3.25,1861.6,2120.6,1.2961,2.1514,20.377
3.25,1930.5,2120.7,1.2962,2.2311,20.377
3.25,1999.5,2120.7,1.2962,2.3107,20.377
3.25,2068.4,2120.8,1.2963,2.3904,20.378
3.25,2137.4,2120.8,1.2963,2.47,20.378
3.25,2206.3,2120.9,1.2963,2.5497,20.379
3.25,2275.3,2120.9,1.2964,2.6294,20.379
3.25,2344.2,2121,1.2964,2.709,20.379
3.25,2413.2,2121,1.2964,2.7887,20.38
3.25,2482.1,2121.1,1.2965,2.8683,20.38
3.25,2551.1,2121.1,1.2965,2.948,20.38
3.25,2620,2121.2,1.2965,3.0277,20.381
3.25,2688.9,2121.2,1.2965,3.1073,20.381
3.25,2757.9,2121.3,1.2966,3.187,20.381
3.5,1378.9,2293.1,1.2817,1.5179,20.987
3.5,1447.9,2293.3,1.282,1.5937,20.988
3.5,1516.8,2293.5,1.2822,1.6695,20.988
3.5,1585.8,2293.6,1.2823,1.7453,20.988
3.5,1654.7,2293.8,1.2825,1.8211,20.989
3.5,1723.7,2293.9,1.2827,1.8968,20.989
3.5,1792.6,2294.1,1.2828,1.9726,20.989
3.5,1861.6,2294.2,1.283,2.0484,20.99
3.5,1930.5,2294.3,1.2831,2.1242,20.99
3.5,1999.5,2294.5,1.2833,2.2,20.99
3.5,2068.4,2294.6,1.2834,2.2757,20.99
3.5,2137.4,2294.7,1.2835,2.3515,20.991
3.5,2206.3,2294.8,1.2836,2.4273,20.991
3.5,2275.3,2294.9,1.2837,2.503,20.991
3.5,2344.2,2295,1.2838,2.5788,20.991
3.5,2413.2,2295.1,1.2839,2.6546,20.991
3.5,2482.1,2295.1,1.284,2.7304,20.992
3.5,2551.1,2295.2,1.2841,2.8061,20.992
3.5,2620,2295.3,1.2842,2.8819,20.992
3.5,2688.9,2295.4,1.2843,2.9577,20.992
3.5,2757.9,2295.5,1.2844,3.0334,20.992
3.75,1378.9,2447.4,1.2677,1.4614,21.566
3.75,1447.9,2447.8,1.268,1.5343,21.566
3.75,1516.8,2448.2,1.2684,1.6071,21.567
3.75,1585.8,2448.5,1.2686,1.68,21.568
3.75,1654.7,2448.8,1.2689,1.7529,21.568
3.75,1723.7,2449.1,1.2692,1.8257,21.569
3.75,1792.6,2449.4,1.2694,1.8986,21.569
3.75,1861.6,2449.6,1.2697,1.9715,21.57
3.75,1930.5,2449.9,1.2699,2.0443,21.57
3.75,1999.5,2450.1,1.2701,2.1172,21.571
3.75,2068.4,2450.3,1.2703,2.19,21.571
3.75,2137.4,2450.5,1.2705,2.2629,21.571
3.75,2206.3,2450.7,1.2707,2.3357,21.572
3.75,2275.3,2450.9,1.2708,2.4086,21.572
3.75,2344.2,2451.1,1.271,2.4814,21.573
3.75,2413.2,2451.3,1.2712,2.5542,21.573
3.75,2482.1,2451.5,1.2713,2.6271,21.573
3.75,2551.1,2451.6,1.2715,2.6999,21.574
3.75,2620,2451.8,1.2716,2.7727,21.574
3.75,2688.9,2451.9,1.2717,2.8456,21.574
3.75,2757.9,2452.1,1.2719,2.9184,21.574
