        p           t         gam         rho          mw
   2.1374E+01  3.0021E+03  1.2091E+00  2.0503E+00  2.3945E+01
   1.1945E+01  2.7181E+03  1.2271E+00  1.2716E+00  2.4058E+01
   2.2063E+01  3.0034E+03  1.2095E+00  2.1158E+00  2.3947E+01
   1.2329E+01  2.7186E+03  1.2275E+00  1.3123E+00  2.4059E+01
   2.2753E+01  3.0046E+03  1.2099E+00  2.1812E+00  2.3949E+01
   1.2713E+01  2.7191E+03  1.2279E+00  1.3529E+00  2.4060E+01
   2.3442E+01  3.0058E+03  1.2103E+00  2.2466E+00  2.3952E+01
   1.3096E+01  2.7196E+03  1.2282E+00  1.3936E+00  2.4062E+01
   2.4132E+01  3.0070E+03  1.2107E+00  2.3121E+00  2.3954E+01
   1.3480E+01  2.7201E+03  1.2286E+00  1.4342E+00  2.4063E+01
   2.4821E+01  3.0081E+03  1.2111E+00  2.3775E+00  2.3956E+01
   1.3864E+01  2.7206E+03  1.2289E+00  1.4749E+00  2.4064E+01
   2.5511E+01  3.0091E+03  1.2114E+00  2.4428E+00  2.3958E+01
   1.4247E+01  2.7210E+03  1.2292E+00  1.5155E+00  2.4065E+01
   2.6200E+01  3.0102E+03  1.2118E+00  2.5082E+00  2.3960E+01
   1.4631E+01  2.7214E+03  1.2295E+00  1.5561E+00  2.4066E+01
   2.6889E+01  3.0112E+03  1.2121E+00  2.5736E+00  2.3962E+01
   1.5015E+01  2.7218E+03  1.2298E+00  1.5968E+00  2.4067E+01
   2.7579E+01  3.0121E+03  1.2125E+00  2.6389E+00  2.3964E+01
   1.5398E+01  2.7222E+03  1.2301E+00  1.6374E+00  2.4068E+01
   2.1374E+01  3.0725E+03  1.1977E+00  2.0347E+00  2.4319E+01
   1.1993E+01  2.7997E+03  1.2154E+00  1.2602E+00  2.4461E+01
   2.2063E+01  3.0741E+03  1.1981E+00  2.0996E+00  2.4323E+01
   1.2378E+01  2.8004E+03  1.2158E+00  1.3005E+00  2.4463E+01
   2.2753E+01  3.0756E+03  1.1985E+00  2.1644E+00  2.4326E+01
   1.2763E+01  2.8012E+03  1.2162E+00  1.3407E+00  2.4464E+01
   2.3442E+01  3.0771E+03  1.1990E+00  2.2291E+00  2.4328E+01
   1.3148E+01  2.8018E+03  1.2166E+00  1.3809E+00  2.4466E+01
   2.4132E+01  3.0785E+03  1.1994E+00  2.2939E+00  2.4331E+01
