x,y,M,mu,V,theta,T,p,a,rho
3.661283595348929754e-04,-5.403642521675788846e-02,1.042801023172133190e+00,1.283296162569580012e+00,3.596270657791564531e+02,1.253146260633336118e+00,2.508254059476867951e+03,1.648084572862989735e+06,3.448664297290333707e+02,2.028332176720377689e+00
5.325765864770612423e-04,-5.404144513563301222e-02,1.044146681360924811e+00,1.278969345093339482e+00,3.600380728094941674e+02,1.244326151554003168e+00,2.507514849621695703e+03,1.645551037037662230e+06,3.448156080333714044e+02,2.025811129812299605e+00
6.762071551922895331e-04,-5.404642294875808967e-02,1.066740158973792152e+00,1.215189564786103293e+00,3.669116191934295443e+02,1.232267908732533890e+00,2.495027414157184012e+03,1.603225737058188533e+06,3.439559447601558873e+02,1.983583395511509417e+00
7.969580165240311214e-04,-5.404436052349680109e-02,1.087988732809933801e+00,1.165859192008737999e+00,3.733288439904378606e+02,1.220610756887086090e+00,2.483155845565959680e+03,1.563808181284747086e+06,3.431366821476602809e+02,1.944064248124472094e+00
9.023321191756394563e-04,-5.403858535451883105e-02,1.108694143657366959e+00,1.124291806700203677e+00,3.795376996935236207e+02,1.209395371741878611e+00,2.471473834936143703e+03,1.525788504295660648e+06,3.423285870722672257e+02,1.905765371288747456e+00
9.964853636331150177e-04,-5.403055317705810628e-02,1.129130413879098516e+00,1.087864573522670408e+00,3.856226369422990956e+02,1.198523299333658088e+00,2.459838025885109346e+03,1.488665511286669876e+06,3.415217872110117696e+02,1.868192937647527696e+00
1.082067739954943163e-03,-5.402104389377325455e-02,1.149402514951826548e+00,1.055237280990851012e+00,3.916160030878382372e+02,1.187889280294393002e+00,2.448196411069890928e+03,1.452258137304711156e+06,3.407126728831384526e+02,1.831170028823101870e+00
1.160900732519176476e-03,-5.401052476707316613e-02,1.169552851885986344e+00,1.025604111972070021e+00,3.975309841002915050e+02,1.177406770903959066e+00,2.436531020343513774e+03,1.416501814248700626e+06,3.398999741304933764e+02,1.794635688890354741e+00
1.234298744003637337e-03,-5.399929637175181901e-02,1.189599447276930011e+00,9.984252226530397900e-01,4.033733511477068987e+02,1.167010162414795715e+00,2.424837170450014128e+03,1.381375942756874952e+06,3.390833377327592189e+02,1.758573066670180207e+00
1.303244251020025789e-03,-5.398756181760595158e-02,1.209550858677464369e+00,9.733114786937533403e-01,4.091460162273426704e+02,1.156651595487734108e+00,2.413115267669552850e+03,1.346875868836903246e+06,3.382627636465879846e+02,1.722981500340313055e+00
1.368491956262272600e-03,-5.397546343422708615e-02,1.229412199300088604e+00,9.499679160038337900e-01,4.148508535180968124e+02,1.146297047544431180e+00,2.401367459227536528e+03,1.313001780267164344e+06,3.374383740085496584e+02,1.687865372870938518e+00
1.430634584496623483e-03,-5.396310381539377865e-02,1.249187540835736465e+00,9.281629067846148828e-01,4.204894171069582853e+02,1.135922916173815578e+00,2.389596281054256451e+03,1.279754421277872054e+06,3.366103193965902278e+02,1.653229761237380524e+00
