Converging x,Converging y
-1.341880206751393766e-02,1.699273278351929803e-02
-1.341746005310574461e-02,1.699407479792749281e-02
-1.341611803869755329e-02,1.699541681233568413e-02
-1.341477602428936024e-02,1.699675882674387545e-02
-1.341343400988116892e-02,1.699810084115206676e-02
-1.341209199547297587e-02,1.699944285556025808e-02
-1.341074998106478455e-02,1.700078486996844940e-02
-1.340940796665659150e-02,1.700212688437664418e-02
-1.340806595224840018e-02,1.700346889878483550e-02
-1.340672393784020713e-02,1.700481091319303029e-02
-1.340538192343201582e-02,1.700615292760122160e-02
-1.340403990902382277e-02,1.700749494200941292e-02
-1.340269789461563145e-02,1.700883695641760424e-02
-1.340135588020743840e-02,1.701017897082579555e-02
-1.340001386579924708e-02,1.701152098523398687e-02
-1.339867185139105403e-02,1.701286299964218166e-02
-1.339732983698286271e-02,1.701420501405037297e-02
-1.339598782257466966e-02,1.701554702845856776e-02
-1.339464580816647835e-02,1.701688904286675907e-02
-1.339330379375828529e-02,1.701823105727495039e-02
-1.339196177935009398e-02,1.701957307168314171e-02
-1.339061976494190093e-02,1.702091508609133302e-02
-1.338927775053370961e-02,1.702225710049952434e-02
-1.338793573612551656e-02,1.702359911490771913e-02
-1.338659372171732524e-02,1.702494112931591044e-02
-1.338525170730913219e-02,1.702628314372410523e-02
-1.338390969290094087e-02,1.702762515813229655e-02
-1.338256767849274782e-02,1.702896717254048786e-02
-1.338122566408455651e-02,1.703030918694867918e-02
-1.337988364967636346e-02,1.703165120135687050e-02
-1.337854163526817214e-02,1.703299321576506181e-02
-1.337719962085997909e-02,1.703433523017325660e-02
-1.337585760645178604e-02,1.703567724458145138e-02
-1.337451559204359472e-02,1.703701925898964270e-02
-1.337317357763540167e-02,1.703836127339783402e-02
-1.337183156322721035e-02,1.703970328780602533e-02
-1.337048954881901730e-02,1.704104530221421665e-02
-1.336914753441082598e-02,1.704238731662240797e-02
-1.336780552000263293e-02,1.704372933103060275e-02
-1.336646350559444162e-02,1.704507134543879407e-02
-1.336512149118624856e-02,1.704641335984698886e-02
-1.336377947677805725e-02,1.704775537425518017e-02
-1.336243746236986420e-02,1.704909738866337149e-02
-1.336109544796167288e-02,1.705043940307156281e-02
-1.335975343355347983e-02,1.705178141747975412e-02
-1.335841141914528851e-02,1.705312343188794544e-02
-1.335706940473709546e-02,1.705446544629614022e-02
-1.335572739032890414e-02,1.705580746070433154e-02
-1.335438537592071109e-02,1.705714947511252633e-02
-1.335304336151251978e-02,1.705849148952071764e-02
-1.335170134710432673e-02,1.705983350392890896e-02
-1.335035933269613541e-02,1.706117551833710028e-02
-1.334901731828794236e-02,1.706251753274529159e-02
-1.334767530387975104e-02,1.706385954715348291e-02
-1.334633328947155799e-02,1.706520156156167770e-02
-1.334499127506336667e-02,1.706654357596986901e-02
-1.334364926065517362e-02,1.706788559037806380e-02
-1.334230724624698231e-02,1.706922760478625511e-02
-1.334096523183878925e-02,1.707056961919444643e-02
-1.333962321743059794e-02,1.707191163360263775e-02
-1.333828120302240489e-02,1.707325364801082906e-02
-1.333693918861421183e-02,1.707459566241902385e-02
-1.333559717420602052e-02,1.707593767682721517e-02
-1.333425515979782747e-02,1.707727969123540995e-02
-1.333291314538963615e-02,1.707862170564360127e-02
-1.333157113098144310e-02,1.707996372005179259e-02
-1.333022911657325178e-02,1.708130573445998390e-02
-1.332888710216505873e-02,1.708264774886817522e-02
-1.332754508775686741e-02,1.708398976327636654e-02
-1.332620307334867436e-02,1.708533177768456132e-02
-1.332486105894048305e-02,1.708667379209275264e-02
-1.332351904453229000e-02,1.708801580650094742e-02
-1.332217703012409868e-02,1.708935782090913874e-02
-1.332083501571590563e-02,1.709069983531733006e-02
-1.331949300130771431e-02,1.709204184972552137e-02
-1.331815098689952126e-02,1.709338386413371269e-02
