x,y,s,p,T,M,A,a,V,rho
0.000000000000000000e+00,5.522126036862178011e-02,0.000000000000000000e+00,1.729339931467253482e+06,2.531488600804648740e+03,1.000000000000000000e+00,8.793521334952862428e-04,3.464600367633007636e+02,3.464600367633007636e+02,2.108800536808707271e+00
5.133660118667761341e-05,5.505104645582667433e-02,1.777870150782105414e-04,1.724606159206502140e+06,2.530159485492742533e+03,1.002476082236715582e+00,8.793569479623707932e-04,3.463690733281774214e+02,3.472267116379929348e+02,2.104132795415029733e+00
7.280816493373436574e-05,5.497988400101701950e-02,2.521181863610585439e-04,1.719876169908170821e+06,2.528828483355034223e+03,1.004952164473430942e+00,8.793713689603706047e-04,3.462779568144173368e+02,3.479927822100859203e+02,2.099466331786258078e+00
8.941829599914659713e-05,5.492487250334199267e-02,3.095826217142372532e-04,1.715150019328407943e+06,2.527495602546806822e+03,1.007428246710146524e+00,8.793953632621077238e-04,3.461866876596570251e+02,3.487582477833614121e+02,2.094801198828936784e+00
1.035341822278922422e-04,5.487816377253868644e-02,3.583777421391180643e-04,1.710427762889753561e+06,2.526160851220791301e+03,1.009904328946862107e+00,8.794288981396375555e-04,3.460952663016171300e+02,3.495231076660201666e+02,2.090137449221823651e+00
1.160707747036525926e-04,5.483672458593281951e-02,4.016717640989585681e-04,1.705709455680836458e+06,2.524824237527069727e+03,1.012380411183577689e+00,8.794719413588266603e-04,3.460036931780984446e+02,3.502873611706797305e+02,2.085475135415321812e+00
1.274963910409248474e-04,5.479900255715221269e-02,4.410861797867684109e-04,1.700995152456078213e+06,2.523485769612974764e+03,1.014856493420293049e+00,8.795244611740305135e-04,3.459119687269766814e+02,3.510510076143696097e+02,2.080814309630912629e+00
1.380887158536838084e-04,5.476407735358006929e-02,4.775823054646351901e-04,1.696284907635415904e+06,2.522145455622993268e+03,1.017332575657008631e+00,8.795864263228421725e-04,3.458200933861979820e+02,3.518140463185280282e+02,2.076155023860606796e+00
1.480283572644304144e-04,5.473135050526612561e-02,5.117852742237663684e-04,1.691578775304045528e+06,2.520803303698667605e+03,1.019808657893724213e+00,8.796578060209264867e-04,3.457280675937740853e+02,3.525764766089974955e+02,2.071497329866401671e+00
1.574405571693805218e-04,5.470040711267711714e-02,5.441284814235516909e-04,1.686876809212179622e+06,2.519459321978498338e+03,1.022284740130439795e+00,8.797385699569247814e-04,3.456358917877778367e+02,3.533382978160212815e+02,2.066841279179758128e+00
1.664163605058742446e-04,5.467094565912122145e-02,5.749268952002644121e-04,1.682179062774826074e+06,2.518113518597848270e+03,1.024760822367155155e+00,8.798286882874421571e-04,3.455435664063383570e+02,3.540995092742389829e+02,2.062186923101085423e+00
1.750243980911925755e-04,5.464273894431025819e-02,6.044178611304822394e-04,1.677485589071567170e+06,2.516765901688841950e+03,1.027236904603870737e+00,8.799281316321148037e-04,3.454510918876362666e+02,3.548601103226827718e+02,2.057534312699226930e+00
