t,aerospike,bell
0,0,0
0.01,0.004503442,0.004307584
0.02,0.017089926,0.016342729
0.03,0.037256642,0.035622343
0.04,0.065434369,0.062560313
0.05,0.101633871,0.097166981
0.06,0.145856802,0.13944394
0.07,0.198104445,0.189392421
0.08,0.258378072,0.247013653
0.09,0.326678969,0.312308872
0.1,0.403008431,0.385279327
0.11,0.487367762,0.465926274
0.12,0.579758279,0.554250983
0.13,0.680181307,0.650254731
0.14,0.788638182,0.753938806
0.15,0.905130247,0.865304505
0.16,1.029658856,0.984353135
0.17,1.162225371,1.111086009
0.18,1.302831165,1.245504454
0.19,1.451477617,1.3876098
0.2,1.608166119,1.537403392
0.21,1.772898068,1.694886579
0.22,1.945674872,1.860060721
0.23,2.126497948,2.032927187
0.24,2.315368721,2.213487353
0.25,2.512288625,2.401742605
0.26,2.717259101,2.597694337
0.27,2.930281596,2.80134395
0.28,3.151357566,3.012692853
0.29,3.380488471,3.231742458
0.3,3.617675781,3.458494188
0.31,3.862920974,3.692949471
0.32,4.116225532,3.935109743
0.33,4.377590948,4.184976449
0.34,4.647018721,4.442551037
0.35,4.924510356,4.707834965
0.36,5.210067366,4.980829699
0.37,5.503691272,5.261536709
0.38,5.805383599,5.549957473
0.39,6.115145878,5.846093477
0.4,6.432979641,6.149946211
0.41,6.758886427,6.461517167
0.42,7.092867778,6.780807843
0.43,7.434925245,7.10781974
0.44,7.785060384,7.442554368
0.45,8.143274755,7.785013238
0.46,8.509569924,8.135197871
0.47,8.883947465,8.49310979
0.48,9.266408954,8.858750526
0.49,9.656955974,9.232121614
0.5,10.05559011,9.613224593
0.51,10.46229539,10.00206101
0.52,10.87705542,10.39861471
0.53,11.29987098,10.80286915
0.54,11.73074287,11.21482505
0.55,12.1696719,11.63448319
0.56,12.6166589,12.06184434
0.57,13.0717047,12.49690928
0.58,13.53481018,12.93967882
0.59,14.00597619,13.39015377
0.6,14.48520362,13.84833496
0.61,14.97249337,14.31422324
0.62,15.46784635,14.78781945
0.63,15.97126347,15.26912448
0.64,16.48274567,15.75813918
0.65,17.00229389,16.25486447
0.66,17.52990907,16.75930124
0.67,18.06559217,17.2714504
0.68,18.60934417,17.79131286
0.69,19.16116604,18.31888957
0.7,19.72105879,18.85418144
0.71,20.2890234,19.39718944
0.72,20.8650609,19.94791452
0.73,21.44917229,20.50635765
0.74,22.04135862,21.07251981
0.75,22.64162092,21.64640199
0.76,23.24996023,22.22800517
0.77,23.86637761,22.81733037
0.78,24.4908741,23.41437859
0.79,25.12345077,24.01915086
0.8,25.76410869,24.63164819
0.81,26.41284895,25.25187161
0.82,27.06967264,25.87982216
0.83,27.73458083,26.51550089
0.84,28.40757465,27.15890884
0.85,29.08865519,27.81004708
0.86,29.77782357,28.46891667
0.87,30.47508092,29.13551868
0.88,31.18042835,29.80985418
0.89,31.89386699,30.49192427
0.9,32.61539798,31.18173003
0.91,33.34502245,31.87927256
0.92,34.08274156,32.58455296
0.93,34.82855644,33.29757233
0.94,35.58246825,34.01833178
0.95,36.34447816,34.74683242
0.96,37.11458733,35.48307537
0.97,37.89279694,36.22706175
0.98,38.67910815,36.97879269
0.99,39.47352214,37.73826932
1,40.2760401,38.50549278
1.01,41.08666321,39.28046421
1.02,41.90539266,40.06318477
1.03,42.73222963,40.8536556
1.04,43.56717531,41.65187785
1.05,44.41023091,42.45785268
1.06,45.26139763,43.27158126
1.07,46.12067667,44.09306472
1.08,46.98806923,44.92230425
1.09,47.86357654,45.75930101
1.1,48.74719981,46.60405618
1.11,49.63894026,47.45657091
1.12,50.53879909,48.31684641
1.13,51.44677755,49.18488384
1.14,52.36287683,50.06068439
1.15,53.28709818,50.94424926
1.16,54.21944281,51.83557963
1.17,55.15991196,52.73467669
1.18,56.10850685,53.64154163
1.19,57.06522872,54.55617566
1.2,58.03007881,55.47857996
1.21,59.00305836,56.40875573
1.22,59.9841686,57.34670418
1.23,60.97341079,58.2924265
1.24,61.97078616,59.24592391
1.25,62.97629596,60.2071976
1.26,63.98994143,61.1762488
1.27,65.01172382,62.15307872
1.28,66.04164437,63.13768857
1.29,67.07970434,64.13007956
1.3,68.12590497,65.13025291
1.31,69.18024752,66.13820984
1.32,70.24273324,67.15395156
1.33,71.31336339,68.17747929
1.34,72.39213922,69.20879425
1.35,73.479062,70.24789766
1.36,74.57413297,71.29479075
1.37,75.6773534,72.34947474
1.38,76.78872455,73.41195085
1.39,77.90824766,74.48222032
1.4,79.03592399,75.56028437
1.41,80.17175481,76.64614423
1.42,81.31574138,77.73980114
1.43,82.46788496,78.84125632
1.44,83.62818681,79.95051099
1.45,84.79664818,81.06756639
1.46,85.97327036,82.19242374
1.47,87.15805459,83.32508429
1.48,88.35100214,84.46554925
1.49,89.55211428,85.61381986
1.5,90.76139226,86.76989736
1.51,91.97883734,87.93378298
1.52,93.20445078,89.10547795
1.53,94.43823385,90.28498351
1.54,95.68018781,91.4723009
1.55,96.93031391,92.66743134
