Converging x,Converging y
-1.335521255305148480e-02,2.251492838262219090e-02
-1.335387689823069705e-02,2.251626403744298038e-02
-1.335254124340991104e-02,2.251759969226376640e-02
-1.335120558858912329e-02,2.251893534708455241e-02
-1.334986993376833554e-02,2.252027100190533843e-02
-1.334853427894754953e-02,2.252160665672612444e-02
-1.334719862412676178e-02,2.252294231154691392e-02
-1.334586296930597403e-02,2.252427796636770341e-02
-1.334452731448518628e-02,2.252561362118848942e-02
-1.334319165966440027e-02,2.252694927600927544e-02
-1.334185600484361252e-02,2.252828493083006145e-02
-1.334052035002282477e-02,2.252962058565085093e-02
-1.333918469520203876e-02,2.253095624047163695e-02
-1.333784904038125101e-02,2.253229189529242643e-02
-1.333651338556046326e-02,2.253362755011321245e-02
-1.333517773073967724e-02,2.253496320493399846e-02
-1.333384207591888949e-02,2.253629885975478447e-02
-1.333250642109810175e-02,2.253763451457557396e-02
-1.333117076627731400e-02,2.253897016939636344e-02
-1.332983511145652798e-02,2.254030582421714946e-02
-1.332849945663574023e-02,2.254164147903793547e-02
-1.332716380181495248e-02,2.254297713385872148e-02
-1.332582814699416647e-02,2.254431278867950750e-02
-1.332449249217337872e-02,2.254564844350029698e-02
-1.332315683735259097e-02,2.254698409832108646e-02
-1.332182118253180496e-02,2.254831975314187248e-02
-1.332048552771101721e-02,2.254965540796265849e-02
-1.331914987289022946e-02,2.255099106278344451e-02
-1.331781421806944171e-02,2.255232671760423399e-02
-1.331647856324865570e-02,2.255366237242502001e-02
-1.331514290842786795e-02,2.255499802724580949e-02
-1.331380725360708020e-02,2.255633368206659550e-02
-1.331247159878629419e-02,2.255766933688738152e-02
-1.331113594396550644e-02,2.255900499170816753e-02
-1.330980028914471869e-02,2.256034064652895701e-02
-1.330846463432393267e-02,2.256167630134974303e-02
-1.330712897950314492e-02,2.256301195617053251e-02
-1.330579332468235718e-02,2.256434761099131853e-02
-1.330445766986156943e-02,2.256568326581210454e-02
-1.330312201504078341e-02,2.256701892063289056e-02
-1.330178636021999566e-02,2.256835457545368004e-02
-1.330045070539920792e-02,2.256969023027446952e-02
-1.329911505057842190e-02,2.257102588509525554e-02
-1.329777939575763415e-02,2.257236153991604155e-02
-1.329644374093684640e-02,2.257369719473682756e-02
-1.329510808611606039e-02,2.257503284955761358e-02
-1.329377243129527264e-02,2.257636850437840306e-02
-1.329243677647448489e-02,2.257770415919919255e-02
-1.329110112165369714e-02,2.257903981401997856e-02
-1.328976546683291113e-02,2.258037546884076457e-02
-1.328842981201212338e-02,2.258171112366155059e-02
-1.328709415719133563e-02,2.258304677848234007e-02
-1.328575850237054962e-02,2.258438243330312609e-02
-1.328442284754976187e-02,2.258571808812391557e-02
-1.328308719272897412e-02,2.258705374294470158e-02
-1.328175153790818810e-02,2.258838939776548760e-02
-1.328041588308740036e-02,2.258972505258627361e-02
-1.327908022826661261e-02,2.259106070740706310e-02
-1.327774457344582486e-02,2.259239636222785258e-02
