x,y,s,p,T,M,A,a,V,rho
0.000000000000000000e+00,3.231088682899865838e-02,0.000000000000000000e+00,1.923263493643366573e+01,2.536481224544600082e+03,1.000000000000000000e+00,5.309717402848111896e-04,3.448204039942005465e+02,3.448204039942005465e+02,2.108187554740692971e+00
2.256700132218522961e-05,3.226370832128214183e-02,5.229800320311398903e-05,1.922824243114888176e+01,2.536371248802930495e+03,1.000206718046998233e+00,5.309717605931424866e-04,3.448129286203707693e+02,3.448842076755549328e+02,2.107797458795912959e+00
3.192902629928955419e-05,3.224413446838410302e-02,7.399554290110711197e-05,1.922385021189303700e+01,2.536261259868752404e+03,1.000413436093996467e+00,5.309718215101971988e-04,3.448054521877123761e+02,3.449480072070535357e+02,2.107407371338566371e+00
3.912016668306331213e-05,3.222909891746018884e-02,9.066228498241256698e-05,1.921945827902996839e+01,2.536151257746737883e+03,1.000620154140994700e+00,5.309719230240788094e-04,3.447979746964741139e+02,3.450118025882887309e+02,2.107017292399675501e+00
4.518823296101965800e-05,3.221641126086821627e-02,1.047263547401141415e-04,1.921506663292339567e+01,2.536041242441560371e+03,1.000826872187992933e+00,5.309720651229057637e-04,3.447904961469047862e+02,3.450755938188529512e+02,2.106627222010255984e+00
5.053900800111935099e-05,3.220522322532280712e-02,1.171280857844116455e-04,1.921067527393681829e+01,2.535931213957892851e+03,1.001033590234991166e+00,5.309722477948112520e-04,3.447830165392531967e+02,3.451393808983389704e+02,2.106237160201311909e+00
5.538056389191520559e-05,3.219509984437109174e-02,1.283496500843323267e-04,1.920628420243357581e+01,2.535821172300407852e+03,1.001240308281989400e+00,5.309724710279425594e-04,3.447755358737681490e+02,3.452031638263397326e+02,2.105847107003834484e+00
5.983648280548370391e-05,3.218578277448511105e-02,1.386774283848452569e-04,1.920189341877683376e+01,2.535711117473778359e+03,1.001447026328987633e+00,5.309727348104638844e-04,3.447680541506983900e+02,3.452669426024482959e+02,2.105457062448806926e+00
6.398727105361113818e-05,3.217710372055927748e-02,1.482979803507316176e-04,1.919750292332954444e+01,2.535601049482676444e+03,1.001653744375985866e+00,5.309730391305522192e-04,3.447605713702927801e+02,3.453307172262580593e+02,2.105067026567196908e+00
6.788883863884879327e-05,3.216894580511713009e-02,1.573408678311442757e-04,1.919311271645452877e+01,2.535490968331775093e+03,1.001860462422984099e+00,5.309733839763998431e-04,3.447530875328001230e+02,3.453944876973626492e+02,2.104676999389965886e+00
7.158188614117761209e-05,3.216122394538602214e-02,1.659004073959435257e-04,1.918872279851438023e+01,2.535380874025745925e+03,1.002067180469982333e+00,5.309737693362163828e-04,3.447456026384692223e+02,3.454582540153557488e+02,2.104286980948061103e+00
7.509713383264862013e-05,3.215387392203514910e-02,1.740477879314758524e-04,1.918433316987156090e+01,2.535270766569261468e+03,1.002273898516980566e+00,5.309741951982225238e-04,3.447381166875488816e+02,3.455220161798313825e+02,2.103896971272420480e+00
7.845844414441482256e-05,3.214684585177916137e-02,1.818383064338019472e-04,1.917994383088833033e+01,2.535160645966994252e+03,1.002480616563978799e+00,5.309746615506561905e-04,3.447306296802879046e+02,3.455857741903836882e+02,2.103506970393970388e+00
8.168479031344429847e-05,3.214010007199898100e-02,1.893159300165387553e-04,1.917555478192675267e+01,2.535050512223615897e+03,1.002687334610977032e+00,5.309751683817697269e-04,3.447231416169352087e+02,3.456495280466071449e+02,2.103116978343625654e+00
8.479155309748737449e-05,3.213360443000977396e-02,1.965163008297861444e-04,1.917116602334874997e+01,2.534940365343798476e+03,1.002894052657975044e+00,5.309757156798306562e-04,3.447156524977395975e+02,3.457132777480962886e+02,2.102726995152291778e+00
8.779140625155739189e-05,3.212733243200715377e-02,2.034687880027952016e-04,1.916677755551605244e+01,2.534830205332214064e+03,1.003100770704973277e+00,5.309763034331198370e-04,3.447081623229498746e+02,3.457770232944460531e+02,2.102337020850862270e+00
9.069493974600507588e-05,3.212126194025433090e-02,2.101979318468863770e-04,1.916238937879016646e+01,2.534720032193533370e+03,1.003307488751971510e+00,5.309769316299347165e-04,3.447006710928149005e+02,3.458407646852514290e+02,2.101947055470215542e+00
9.351110983715120797e-05,3.211537423222726728e-02,2.167244868182487789e-04,1.915800149353249893e+01,2.534609845932429380e+03,1.003514206798969743e+00,5.309776002585858603e-04,3.446931788075834788e+02,3.459045019201075775e+02,2.101557099041227339e+00
9.624757138673896428e-05,3.210965330591410843e-02,2.230661916121480862e-04,1.915361390010421516e+01,2.534499646553572347e+03,1.003720924845967977e+00,5.309783093074011816e-04,3.446856854675045838e+02,3.459682349986101144e+02,2.101167151594755644e+00
9.891092802531611244e-05,3.210408535685848469e-02,2.292383488744247273e-04,1.914922659886633127e+01,2.534389434061634347e+03,1.003927642892966210e+00,5.309790587647198693e-04,3.446781910728269622e+02,3.460319639203545989e+02,2.100777213161650447e+00
1.015069236972943392e-04,3.209865837774237424e-02,2.352542690746624884e-04,1.914483959017969283e+01,2.534279208461286544e+03,1.004134360939964443e+00,5.309798486188978088e-04,3.446706956237994746e+02,3.460956886849368743e+02,2.100387283772751523e+00
1.040405915480606576e-04,3.209336184714348117e-02,2.411256155269694476e-04,1.914045287440491805e+01,2.534168969757200102e+03,1.004341078986962676e+00,5.309806788583068234e-04,3.446631991206710381e+02,3.461594092919531249e+02,2.099997363458882660e+00
1.065163712191011074e-04,3.208818648433463261e-02,2.468626762014568439e-04,1.913606645190250788e+01,2.534058717954046188e+03,1.004547797033960910e+00,5.309815494713306626e-04,3.446557015636905703e+02,3.462231257409996488e+02,2.099607452250863204e+00
1.089382023764301141e-04,3.208312405376619048e-02,2.524745804606996161e-04,1.913168032303275012e+01,2.533948453056495509e+03,1.004754515080959143e+00,5.309824604463696642e-04,3.446482029531068179e+02,3.462868380316728576e+02,2.099217550179496961e+00
1.113096001055420559e-04,3.207816720745626515e-02,2.579694737744826815e-04,1.912729448815572297e+01,2.533838175069218778e+03,1.004961233127957376e+00,5.309834117718383690e-04,3.446407032891687550e+02,3.463505461635695042e+02,2.098827657275576630e+00
1.136337162925588236e-04,3.207330935667556532e-02,2.633546599605211141e-04,1.912290894763141935e+01,2.533727883996887158e+03,1.005167951174955610e+00,5.309844034361663884e-04,3.446332025721252421e+02,3.464142501362865687e+02,2.098437773569888698e+00
1.159133900495721084e-04,3.206854456653563529e-02,2.686367180363083570e-04,1.911852370181953731e+01,2.533617579844170450e+03,1.005374669221953843e+00,5.309854354277974281e-04,3.446257008022251398e+02,3.464779499494211450e+02,2.098047899093200552e+00
1.181511894828551207e-04,3.206386746867399828e-02,2.738215990099596283e-04,1.911413875107969673e+01,2.533507262615740274e+03,1.005581387268952076e+00,5.309865077351896140e-04,3.446181979797174222e+02,3.465416456025706111e+02,2.097658033876277806e+00
1.203494465539635752e-04,3.205927318837836770e-02,2.789147066649673261e-04,1.910975409577125816e+01,2.533396932316266430e+03,1.005788105315950309e+00,5.309876203468166843e-04,3.446106941048508929e+02,3.466053370953325157e+02,2.097268177949866530e+00
1.225102863804108586e-04,3.205475728333500446e-02,2.839209654593400842e-04,1.910536973625350399e+01,2.533286588950419628e+03,1.005994823362948543e+00,5.309887732511651710e-04,3.446031891778745830e+02,3.466690244273046915e+02,2.096878331344711022e+00
1.246356520225961814e-04,3.205031569181243656e-02,2.888448779652980254e-04,1.910098567288537907e+01,2.533176232522869213e+03,1.006201541409946776e+00,5.309899664367398204e-04,3.445956831990371825e+02,3.467327075980849145e+02,2.096488494091531596e+00
