x,y,s,p,T,M,A,a,V,rho
-3.922905967500000396e-02,2.527675322800000679e-02,0.000000000000000000e+00,2.888743459996727761e+06,2.792982918905415772e+03,3.410076897313696898e-01,1.407957506753358288e-03,3.639144486589415237e+02,1.240976253970507912e+02,3.192800666627699790e+00
-3.918983302251852208e-02,2.528242606237694409e-02,3.963472359902501195e-05,2.888329192430349533e+06,2.792906174971131804e+03,3.413521979276930018e-01,1.406718941832769921e-03,3.639094489115038300e+02,1.242212902325973403e+02,3.192430514687420562e+00
-3.915060637003704019e-02,2.528787992408992880e-02,7.923869906219422905e-05,2.887929674042346887e+06,2.792832154923808503e+03,3.416841672592790813e-01,1.405528010875176049e-03,3.639046265559682638e+02,1.243404492865749518e+02,3.192073531640763129e+00
-3.911137971755555831e-02,2.529311778527333632e-02,1.188135073962796439e-04,2.887544827839700971e+06,2.792760845411046375e+03,3.420036921038298039e-01,1.404384085389036394e-03,3.638999807294704851e+02,1.244551369659914286e+02,3.191729649735506769e+00
-3.907215306507407643e-02,2.529814261806152473e-02,1.583606844061776137e-04,2.887174569633939769e+06,2.792692231707644169e+03,3.423108713486664456e-01,1.403286535709469306e-03,3.638955104794044928e+02,1.245653892720727356e+02,3.191398794744532363e+00
-3.903292641259259455e-02,2.530295739458887638e-02,1.978817210564387714e-04,2.886818808170346078e+06,2.792626297739422171e+03,3.426058082992459730e-01,1.402234731034994507e-03,3.638912147649735971e+02,1.246712437675482903e+02,3.191080886081160362e+00
-3.899369976011111266e-02,2.530756508698975976e-02,2.373780638512356896e-04,2.886477445262618363e+06,2.792563026108151007e+03,3.428886105851585708e-01,1.401228039463802474e-03,3.638870924588140952e+02,1.247727395430759003e+02,3.190775836919463870e+00
-3.895447310762963078e-02,2.531196866739853293e-02,2.768511152321395815e-04,2.886150375932629686e+06,2.792502398117515440e+03,3.431593900637927019e-01,1.400265828029468706e-03,3.638831423486873291e+02,1.248699171828718022e+02,3.190483554319250015e+00
-3.891524645514814890e-02,2.531617110794956438e-02,3.163022339930556394e-04,2.885837488554970827e+06,2.792444393800053604e+03,3.434182627218204109e-01,1.399347462736192467e-03,3.638793631392356360e+02,1.249628187295987232e+02,3.190203939355406249e+00
-3.887601980266667395e-02,2.532017538077723645e-02,3.557327357116597138e-04,2.885538665005996358e+06,2.792388991945014823e+03,3.436653485746817838e-01,1.398472308593511201e-03,3.638757534537992342e+02,1.250514876485748772e+02,3.189936887251370035e+00
-3.883679315018519207e-02,2.532398445801590028e-02,3.951438931967305346e-04,2.885253780817035120e+06,2.792336170127074638e+03,3.439007715642306562e-01,1.397639729650508849e-03,3.638723118362893274e+02,1.251359687913602414e+02,3.189682287516419912e+00
-3.879756649770371019e-02,2.532760131179992782e-02,4.345369369506470745e-04,2.884982705331464764e+06,2.792285904735839267e+03,3.441246594547162085e-01,1.396849089029520222e-03,3.638690367531130505e+02,1.252163083587806511e+02,3.189440024086497960e+00
-3.875833984522222830e-02,2.533102891426370143e-02,4.739130556465344867e-04,2.884725301865305752e+06,2.792238171006083576e+03,3.443371437272718105e-01,1.396099748959320815e-03,3.638659265951476414e+02,1.252925538634502942e+02,3.189209975468270564e+00
-3.871911319274074642e-02,2.533427023754157223e-02,5.132733966193285969e-04,2.884481427871046588e+06,2.792192943048657980e+03,3.445383594730785370e-01,1.395391070807792521e-03,3.638629796797574727e+02,1.253647540918497469e+02,3.188992014886155690e+00
-3.867988654025926454e-02,2.533732825376792258e-02,5.526190663701864353e-04,2.884250935104372445e+06,2.792150193881998348e+03,3.447284452853657255e-01,1.394722415114125298e-03,3.638601942528520681e+02,1.254329590660168634e+02,3.188786010432020035e+00
-3.864065988777778266e-02,2.534020593507710709e-02,5.919511310836003118e-04,2.884033669793464709e+06,2.792109895464182955e+03,3.449075431504316502e-01,1.394093141620450288e-03,3.638575684909798156e+02,1.254972200049137570e+02,3.188591825217250708e+00
-3.860143323529630077e-02,2.534290625360350810e-02,6.312706171566274168e-04,2.883829472810569219e+06,2.792072018725465114e+03,3.450757983378386351e-01,1.393502609303008894e-03,3.638551005034527748e+02,1.255575892855234770e+02,3.188409317526915920e+00
-3.856220658281481889e-02,2.534543218148148022e-02,6.705785117396200964e-04,2.883638179845537990e+06,2.792036533601231440e+03,3.452333592899408110e-01,1.392950176402799056e-03,3.638527883345005307e+02,1.256141204037314054e+02,3.188238340975762419e+00
-3.852297993033333701e-02,2.534778669084540234e-02,7.098757632878867829e-04,2.883459621580975130e+06,2.792003409065308915e+03,3.453803775109358654e-01,1.392435200455692437e-03,3.638506299654461600e+02,1.256668679350576241e+02,3.188078744665697073e+00
-3.848375327785185512e-02,2.534997275382963600e-02,7.491632821236950211e-04,2.883293623868769966e+06,2.791972613163578444e+03,3.455170074555526938e-01,1.391957038322090816e-03,3.638486233169036268e+02,1.257158874952791763e+02,3.187930373344569190e+00
-3.844452662537037324e-02,2.535199334256855314e-02,7.884419410080661418e-04,2.883140007907620165e+06,2.791944113047816245e+03,3.456434064175918919e-01,1.391515046216000497e-03,3.638467662509891625e+02,1.257612357010171991e+02,3.187793067565883209e+00
-3.840529997288889136e-02,2.535385142919652571e-02,8.277125757218061451e-04,2.882998590421334375e+06,2.791917875009720319e+03,3.457597344184090704e-01,1.391108579733684077e-03,3.638450565735464011e+02,1.258029701303204320e+02,3.187666663849260562e+00
-3.836607332040740947e-02,2.535554998584792219e-02,8.669759856552409919e-04,2.882869183837570250e+06,2.791893864515055157e+03,3.458661540955467184e-01,1.390736993881724589e-03,3.638434920363781089e+02,1.258411492833157723e+02,3.187550994841323426e+00
-3.832684666792592759e-02,2.535709198465710412e-02,9.062329344061368632e-04,2.882751596466716845e+06,2.791872046237855102e+03,3.459628305916275237e-01,1.390399643104634278e-03,3.638420703394832003e+02,1.258758325429656537e+02,3.187445889476751226e+00
-3.828762001544444571e-02,2.535848039775843651e-02,9.454841503852998239e-04,2.882645632680703420e+06,2.791852384094642275e+03,3.460499314436696339e-01,1.390095881311919973e-03,3.638407891332941517e+02,1.259070801359871012e+02,3.187351173139299387e+00
-3.824839336296296383e-02,2.535971819728629825e-02,9.847303274293651553e-04,2.882551093091399409e+06,2.791834841278596741e+03,3.461276264729528651e-01,1.389825061904662734e-03,3.638396460209116867e+02,1.259349530939775121e+02,3.187266667822485910e+00
-3.820916671048148194e-02,2.536080835537505435e-02,1.023972125420301261e-03,2.882467774728376884e+06,2.791819380293625272e+03,3.461960876755807437e-01,1.389586537801573403e-03,3.638386385603334361e+02,1.259595132147971270e+02,3.187192192289722836e+00
-3.816994005800000700e-02,2.536175384415907327e-02,1.063210170911165191e-03,2.882395471215770580e+06,2.791805962988285046e+03,3.462554891138605595e-01,1.389379661464553318e-03,3.638377642666724228e+02,1.259808230242501565e+02,3.187127562233671885e+00
-3.813071340551852512e-02,2.536255763577271310e-02,1.102445057757709063e-03,2.882333972947989590e+06,2.791794550589503615e+03,3.463060068086408760e-01,1.389203784923723336e-03,3.638370206143634960e+02,1.259989457381133775e+02,3.187072590434581798e+00
